outcome,outcome_label,track,average_precision,corrected_roc_auc,corrected_roc_auc_ci_lower,corrected_roc_auc_ci_upper,lift_at_top10,lift_at_top10_ci_lower,lift_at_top10_ci_upper,locked_test_enrichment_grade,corrected_auroc_global_ordering_flag,design_grade_effect
has_any_outer_imagery_observed,Any outer-package affective imagery,interpretable_36_logistic,0.0892092248237394,0.6877140974967061,0.613409189337439,0.758553909152313,2.5986622073578598,1.3671521035598706,3.7742393162393157,E2,above_half,unchanged
general_visual_appeal_observed_positive_core,General visual appeal,interpretable_36_logistic,0.06752758439859335,0.7165506958250497,0.624829158872622,0.805560035237034,3.3205128205128207,1.2029420893571838,4.99514679798357,E2,above_half,unchanged
cute_friendly_observed_positive_core,Cute/friendly,interpretable_36_logistic,0.0474202158329123,0.7220458350170286,0.583065347048752,0.840347484340203,2.9298642533936654,0.7654966392830469,4.9951456310679614,E1,above_half,unchanged
