outcome,outcome_label,track,positive_n,frozen_p11_roc_auc,corrected_roc_auc,corrected_roc_auc_ci_lower,corrected_roc_auc_ci_upper
has_any_outer_imagery_observed,Any outer-package affective imagery,openclip_512_logistic,46,0.30267896354852875,0.6974198506807202,0.617048315033226,0.773672946851703
has_any_outer_imagery_observed,Any outer-package affective imagery,interpretable_36_logistic,46,0.3123847167325428,0.6877140974967061,0.613409189337439,0.758553909152313
general_visual_appeal_observed_positive_core,General visual appeal,openclip_512_logistic,30,0.27866136514247847,0.7213220675944334,0.632209446795283,0.805646019944528
general_visual_appeal_observed_positive_core,General visual appeal,interpretable_36_logistic,30,0.28343273691186216,0.7165506958250497,0.624829158872622,0.805560035237034
cute_friendly_observed_positive_core,Cute/friendly,openclip_512_logistic,17,0.2920972117993419,0.7081336950874557,0.547545478209914,0.844797718729268
cute_friendly_observed_positive_core,Cute/friendly,interpretable_36_logistic,17,0.27818507186976854,0.7220458350170286,0.583065347048752,0.840347484340203
