outcome,outcome_role,outcome_evidence_grade,average_precision,auroc,auroc_ci_low,auroc_ci_high,top10_lift,top10_lift_ci_low,top10_lift_ci_high,r1_exclusion_top10_lift,all_auroc_global_ordering_flag
has_any_outer_imagery_observed,primary,E2,0.0892,0.3124,0.2416,0.3867,2.5987,1.37,3.77,2.65,below_half
general_visual_appeal_observed_positive_core,secondary,E2,0.0675,0.2834,0.1944,0.3751,3.3205,1.20,5.00,,below_half
cute_friendly_observed_positive_core,secondary,E1,0.0474,0.2782,0.1602,0.4177,2.9299,0.77,5.00,,below_half
